Tank,Unit,FreqPair,Polarity,N_Spikes,SNR,PeakToPeak_(V),Jitter_(ms),MeanCorrelation
19_056,2-1,1,neg,1031,2.6822572,8.77502e-05,0.2929842509094025,0.8092526883048708
19_056,2-1,2,neg,963,2.6628096,8.8218854e-05,0.26157460438914604,0.8212319145504386
19_120,1-1,1,neg,1478,2.308965,0.00014867926,0.40355265243328525,0.7023031165460898
19_120,1-1,2,neg,1574,2.2585857,0.00013973098,0.3992677005227201,0.6767785231417695
21_015,8-1,1,neg,3368,2.4175336,0.00014579942,0.2798114448334604,0.7168213523813702
21_015,10-1,1,neg,3528,1.818195,0.00010366035,0.44156000219063446,0.5907373908078475
21_016,8-1,1,neg,3949,1.8229666,0.00086717407,0.09945332671454259,0.9199459615703363
21_016,8-1,2,neg,4040,1.5396019,0.00068657973,0.09343762211207972,0.9249308174844771
21_016,8-2,1,pos,228,3.499029,0.0017150014,0.13051558227891952,0.9752364682652602
21_016,10-1,1,neg,2552,1.9453846,7.268809e-05,0.2614408162901735,0.7393007709416013
21_016,11-2,1,neg,15420,1.8137785,7.104206e-05,0.3512572247966522,0.700818096813426
21_016,13-1,1,neg,350,0.44674647,9.322653e-05,0.3086706829827146,0.5743519952048249
21_016,14-2,1,pos,6506,2.2435071,3.1266227e-05,0.8123755833912031,0.5770824560261092
21_017,3-1,1,neg,2493,2.2339692,0.000115544084,0.3779219001664101,0.7478825238965594
21_017,5-2,1,neg,348,3.1759303,0.0001095755,0.20736340515464927,0.7656727816738047
21_017,6-1,1,neg,790,2.2671914,6.695806e-05,0.24946608993790248,0.7165700299622191
21_017,8-2,1,neg,1077,2.097937,6.752026e-05,0.3160735430005109,0.8068129830999387
21_017,9-3,1,neg,1464,2.5490243,7.73785e-05,0.10617417184377498,0.7514362311996432
21_018,10-1,1,neg,1334,2.752593,6.526506e-05,0.20361848108200098,0.7435674196445947
21_018,13-1,1,pos,4,3.0724525,5.886962e-05,0.9201588732387468,0.7581448222559253
21_018,14-1,1,neg,28938,2.1248567,8.1280676e-05,0.3888829971955219,0.7166350088056552
21_018,15-1,1,neg,3361,1.248724,9.202927e-05,0.2289855184375165,0.782597885877304
21_018,17-1,1,neg,4788,2.2793136,7.5027914e-05,0.2765319757462921,0.7870320922180163
21_020,4-1,1,neg,624,2.0075927,7.635065e-05,0.4355061920122369,0.6445328792300421
21_020,4-2,1,neg,1152,2.248701,0.00011180358,0.251532699550595,0.7504516264991669
21_020,4-4,1,neg,308,2.6428137,0.00021567996,0.0850004987998421,0.9518111734758438
21_021,6-1,1,neg,1856,2.3709893,0.00014478058,0.2914432223593735,0.747850647010369
21_021,6-2,1,neg,5063,2.5731938,0.0001509352,0.19878404962262114,0.8841433934914249
21_021,6-3,1,neg,3821,2.298834,0.00017188757,0.16434268208082167,0.8963708706294252
21_021,7-1,1,neg,1958,1.9967073,4.872461e-05,0.433060037014695,0.6194106877873609
21_021,7-2,1,neg,1059,1.2173084,7.670111e-05,0.32249964389740454,0.7114287078214222
21_021,7-3,1,neg,1324,2.233449,0.00014054777,0.31884692103564605,0.8044650913514816
21_022,4-1,1,neg,2669,1.5903977,6.93592e-05,0.4534793984124122,0.6524315340154103
21_022,5-2,1,neg,1711,2.8603566,0.00024945888,0.01612508622416421,0.9744120014414511
21_022,7-1,1,neg,1837,2.0483787,8.107193e-05,0.3304793403540069,0.6915671057523364
21_022,8-1,1,neg,279,1.2086207,0.0001100388,0.4553626254715835,0.7555867700438211
21_022,8-2,1,neg,595,2.173452,9.61824e-05,0.25740084505518973,0.7527730208716658
21_023,6-1,1,neg,2010,2.0629294,7.2691764e-05,0.3874199702977019,0.6692558216555266
21_023,7-1,1,neg,7844,2.1969845,0.00010191764,0.32299170878601124,0.7586571757472005
21_023,8-1,1,neg,2024,2.2107246,8.652583e-05,0.33060812968627573,0.7907302942489152
21_023,9-1,1,neg,2953,2.3115823,5.963383e-05,0.18289055594636638,0.7812449372258035
21_023,10-1,1,neg,2242,1.7887273,5.9091377e-05,0.43268408071320696,0.5884840766449665
21_040,5-4,1,neg,1388,2.402373,6.2678715e-05,0.30425227293852714,0.7239909674274335
21_040,5-5,1,neg,818,2.0579388,0.000103344384,0.33512569838597717,0.7713629510240992
22_001,5-1,1,neg,65,2.6113718,9.584359e-05,0.023135101032564814,0.8171853473905807
22_001,6-2,1,neg,537,2.5762405,0.00010744396,0.12607278597371546,0.867601807692213
22_001,10-1,1,neg,760,2.6457126,0.00014660395,0.0705934844073844,0.9339461561904909
22_003,7-1,1,neg,228,2.7230825,6.3917614e-05,0.0437186392448432,0.7656523544859702
22_003,8-1,1,neg,7864,2.5226424,8.671271e-05,0.1909627973944689,0.8206272161864369
22_003,8-3,1,neg,13501,2.3968685,0.0001717365,0.32367170226299574,0.8066782041057243
22_003,9-3,1,neg,1213,2.587216,0.00010586063,0.15569768848423216,0.877067791565738
